1	"Ab Kettleby"	52.80043	-0.92608
2	"Ab Lench"	52.16447	-1.983
3	"Abberley"	52.30798	-2.36398
4	"Abberton"	52.18333	-2.01667
5	"Abberton"	51.83435	0.91084
6	"Abbess Roding"	51.7783	0.27723
7	"Abbey Dore"	51.96667	-2.9
8	"Abbey Saint Bathans"	55.85	-2.38333
9	"Abbey Town"	54.84529	-3.28955
10	"Abbey Wood"	51.48688	0.10746
11	"Abbey-Cwmhir"	52.33333	-3.4
12	"Abbots Bickington"	50.89697	-4.29877
13	"Abbots Bromley"	52.81705	-1.87694
14	"Abbots Langley"	51.70573	-0.41757
15	"Abbots Ripton"	52.38611	-0.1921
16	"Abbots Worthy"	51.09129	-1.29094
17	"Abbotsbury"	50.66667	-2.6
18	"Abbotsford"	55.6	-2.78333
19	"Abbotsham"	51.01625	-4.24609
20	"Abbotskerswell"	50.50816	-3.61342
21	"Abbotsley"	52.19403	-0.20664
22	"Abbotts Ann"	51.18986	-1.53126
23	"Aber"	53.23333	-4.01667
24	"Aber Cowarch"	52.75	-3.7
25	"Aber-Arth"	52.25	-4.23333
26	"Aber-Brân"	51.95	-3.48333
27	"Aber-nant"	51.71944	-3.43028
28	"Aberaeron"	52.24247	-4.25871
29	"Aberaman"	51.70307	-3.43026
30	"Aberangell"	52.66667	-3.71667
31	"Aberarder"	57.3	-4.26667
32	"Aberargie"	56.32737	-3.35203
33	"Aberbargoed"	51.69406	-3.22455
34	"Aberbeeg"	51.71194	-3.14167
35	"Abercanaid"	51.72361	-3.36611
36	"Abercarn"	51.64733	-3.13476
37	"Abercastle"	51.95944	-5.12583
38	"Aberchalder"	57.23333	-4.36667
39	"Aberchirder"	57.56012	-2.62856
40	"Abercraf"	51.80094	-3.71126
41	"Abercych"	52.03901	-4.55881
42	"Abercynon"	51.64548	-3.32727
43	"Aberdalgie"	56.36546	-3.49281
44	"Aberdare"	51.71438	-3.44918
45	"Aberdaron"	52.80449	-4.71164
46	"Aberdeen"	57.14369	-2.09814
47	"Aberdour"	56.05	-3.3
48	"Aberdulais"	51.68317	-3.7755
49	"Aberdyfi"	52.54443	-4.04544
50	"Aberedw"	52.11654	-3.34305
51	"Abereiddy"	51.93583	-5.20444
52	"Abererch"	52.90304	-4.38513
53	"Aberfan"	51.68722	-3.33194
54	"Aberfeldy"	56.62	-3.86453
55	"Aberffraw"	53.19185	-4.46416
56	"Aberford"	53.82604	-1.34231
57	"Aberfoyle"	56.17861	-4.38419
58	"Abergavenny"	51.82098	-3.01743
59	"Abergele"	53.28436	-3.5822
60	"Abergorlech"	51.98306	-4.06028
61	"Abergwesyn"	52.16101	-3.67574
62	"Abergwili"	51.86593	-4.26969
63	"Abergwynfi"	51.65355	-3.6026
64	"Abergynolwyn"	52.64426	-3.95611
65	"Aberhafesp"	52.5215	-3.37313
66	"Aberhosan"	52.56142	-3.75441
67	"Aberkenfig"	51.54	-3.59556
68	"Aberlady"	56.00884	-2.85851
69	"Aberlemno"	56.68914	-2.7828
70	"Aberllefenni"	52.66667	-3.81667
71	"Aberlour"	57.47076	-3.22509
72	"Abermule"	52.54339	-3.23723
73	"Abernant"	51.88139	-4.41556
74	"Abernethy"	56.33247	-3.31226
75	"Aberporth"	52.13248	-4.54173
76	"Abersoch"	52.82437	-4.50584
77	"Abersychan"	51.72468	-3.06348
78	"Aberthaw"	51.39111	-3.3925
79	"Abertillery"	51.72981	-3.13432
80	"Abertridwr"	51.59583	-3.26833
81	"Aberystwyth"	52.41548	-4.08292
82	"Abingdon"	51.67109	-1.28278
83	"Abinger"	51.18333	-0.4
84	"Abington"	55.48333	-3.7
85	"Aboyne"	57.07546	-2.78023
86	"Abram"	53.50855	-2.59266
87	"Abriachan"	57.38486	-4.40088
88	"Abthorpe"	52.11254	-1.05269
89	"Aby"	53.2841	0.11484
90	"Acaster Malbis"	53.90056	-1.1063
91	"Accrington"	53.75379	-2.35863
92	"Acha"	56.6007	-6.59042
93	"Achagarve"	57.88333	-5.58333
94	"Achagate"	57.3	-4.9
95	"Achahoish"	55.93983	-5.55681
96	"Achallader"	56.55825	-4.74283
97	"Achanalt"	57.61162	-4.91276
98	"Achany"	57.98333	-4.41667
99	"Achaphubuil"	56.8346	-5.13439
100	"Acharacle"	56.74953	-5.80375
101	"Acharn"	56.58333	-5.73333
102	"Acharn"	56.55	-4.01667
103	"Acharosson"	55.93333	-5.3
104	"Acharra"	56.63333	-5.28333
105	"Acheninver"	58	-5.31667
106	"Achentoul"	58.26667	-3.91667
107	"Achfary"	58.31177	-4.91558
108	"Achiltibuie"	58.0216	-5.3457
109	"Achinduich"	57.96667	-4.4
110	"Achintee"	57.4	-5.45
111	"Achintraid"	57.38661	-5.60194
112	"Achlain"	57.16667	-4.85
113	"Achlyness"	58.42689	-5.00393
114	"Achmelvich"	58.16849	-5.30031
115	"Achmore"	57.33333	-5.56667
116	"Achmore"	56.45	-4.28333
117	"Achnaba"	56.01667	-5.36667
118	"Achnacloich"	56.45396	-5.31918
119	"Achnacroish"	56.51109	-5.49458
120	"Achnahanat"	57.94767	-4.50924
121	"Achnasheen"	57.57851	-5.07888
122	"Achnastank"	57.38333	-3.2
123	"Achness"	58.3	-4.3
124	"Achriesgill"	58.43333	-4.98333
125	"Achurch"	52.43399	-0.49576
126	"Ackergill"	58.45988	-3.11311
127	"Acklam"	54.04513	-0.80531
128	"Acklington"	55.3	-1.63333
129	"Acle"	52.63681	1.54757
130	"Acomb"	53.95	-1.13333
131	"Acomb"	54.98333	-2.1
132	"Aconbury"	51.99939	-2.70266
133	"Acrefair"	52.98041	-3.07612
134	"Acton"	54.3	-6.36667
135	"Acton"	53.26667	-2.6
136	"Acton"	52.45	-3.01667
137	"Acton"	51.50901	-0.2762
138	"Acton Burnell"	52.61388	-2.69468
139	"Acton Round"	52.55707	-2.53722
140	"Acton Scott"	52.50102	-2.80484
141	"Acton Trussell"	52.76083	-2.09672
142	"Acton Turville"	51.52524	-2.27742
143	"Adbaston"	52.84634	-2.35255
144	"Adderbury"	52.0169	-1.31192
145	"Adderley"	52.95402	-2.50471
146	"Addiewell"	55.84382	-3.60549
147	"Addingham"	53.94452	-1.88424
148	"Addington"	51.95135	-0.91307
149	"Addington"	51.35	-0.03333
150	"Addington"	51.30685	0.37362
151	"Addlestone"	51.37135	-0.49353
152	"Addlethorpe"	53.19498	0.31755
153	"Adel"	53.85203	-1.57978
154	"Adforton"	52.3342	-2.8794
155	"Adlestrop"	51.94243	-1.64959
156	"Adlingfleet"	53.67881	-0.72312
157	"Adlington"	53.61323	-2.60676
158	"Adlington"	53.32042	-2.13658
159	"Admaston"	52.71667	-2.55
160	"Admington"	52.11547	-1.70528
161	"Adpar"	52.04193	-4.46886
162	"Adstock"	51.96521	-0.93023
163	"Adstone"	52.15898	-1.13142
164	"Adversane"	50.99896	-0.47104
165	"Advie"	57.39306	-3.45244
166	"Adwick le Street"	53.57077	-1.18454
167	"Agbrigg"	53.66562	-1.48054
168	"Aghadowey"	55.01667	-6.66667
169	"Aghagallon"	54.5	-6.3
170	"Aghalee"	54.51667	-6.26667
171	"Aghanloo"	55.1	-6.93333
172	"Aghory"	54.35	-6.48333
173	"Ahoghill"	54.86667	-6.36667
174	"Aikton"	54.87025	-3.13179
175	"Ainderby Steeple"	54.32393	-1.48783
176	"Ainsdale"	53.60294	-3.03374
177	"Ainstable"	54.80897	-2.73203
178	"Aintree"	53.47538	-2.95202
179	"Aird"	55.23333	-6.5
180	"Aird of Sleat"	57.03333	-5.95
181	"Aird Tong"	58.24739	-6.34186
182	"Aird Uig"	58.23333	-7.03333
183	"Airdrie"	55.86602	-3.98025
184	"Airmyn"	53.72074	-0.89959
185	"Airor"	57.06667	-5.76667
186	"Airth"	56.06834	-3.76993
187	"Airton"	54.02834	-2.15064
188	"Aisholt"	51.11391	-3.15311
189	"Aislaby"	54.45	-0.66667
190	"Aith"	60.28386	-1.3776
191	"Aitnoch"	57.45	-3.71667
192	"Akeld"	55.56069	-2.06878
193	"Akeley"	52.03359	-0.96954
194	"Alberbury"	52.72234	-2.95074
195	"Albourne"	50.93456	-0.1988
196	"Albrighton"	52.75	-2.75
197	"Albrighton"	52.63333	-2.26667
198	"Alburgh"	52.43629	1.33304
199	"Albury"	51.90184	0.08025
200	"Albury"	51.22032	-0.4961
201	"Alcester"	52.21667	-1.86667
202	"Alconbury"	52.369	-0.26009
203	"Aldborough"	54.09192	-1.38393
204	"Aldbourne"	51.48098	-1.61827
205	"Aldbrough"	54.49786	-1.6888
206	"Aldbrough"	53.82893	-0.11467
207	"Aldbury"	51.80234	-0.60227
208	"Aldeburgh"	52.15259	1.60124
209	"Aldeby"	52.48403	1.60604
210	"Aldenham"	51.67363	-0.35357
211	"Alderbury"	51.04354	-1.73382
212	"Alderford"	52.72465	1.14447
213	"Aldergrove"	54.64583	-6.24247
214	"Alderholt"	50.91667	-1.83333
215	"Alderley"	51.61647	-2.3358
216	"Alderley Edge"	53.30393	-2.23773
217	"Alderley Park"	53.27632	-2.2311
218	"Aldermaston"	51.38391	-1.15326
219	"Alderminster"	52.13714	-1.66676
220	"Alderney"	49.7136	-2.19958
221	"Aldershot"	51.24827	-0.76389
222	"Alderton"	52.02461	1.41479
223	"Alderton"	51.98333	-2
224	"Alderwasley"	53.07853	-1.52883
225	"Aldford"	53.12762	-2.86812
226	"Aldham"	52.05	0.98333
227	"Aldie"	57.45	-1.88333
228	"Aldingham"	54.1301	-3.09858
229	"Aldington"	51.09164	0.94461
230	"Aldridge"	52.60549	-1.91715
231	"Aldringham"	52.19319	1.57757
232	"Aldsworth"	51.78333	-1.76667
233	"Aldwark"	54.06667	-1.28333
234	"Aldwarke"	53.44725	-1.32588
235	"Aldwincle Saint Peter"	52.41667	-0.51667
236	"Aldworth"	51.50981	-1.20111
237	"Alexandria"	55.99379	-4.5864
238	"Alfold"	51.0949	-0.51773
239	"Alford"	57.23257	-2.70298
240	"Alford"	53.25	0.18333
241	"Alford"	51.08833	-2.56417
242	"Alfreton"	53.0961	-1.38832
243	"Alfriston"	50.80756	0.15673
244	"Algarkirk"	52.89922	-0.08128
245	"Alhampton"	51.11194	-2.53361
246	"Alkborough"	53.68459	-0.66616
247	"Alkham"	51.13515	1.22317
248	"All Stretton"	52.55393	-2.79788
249	"Allanfearn"	57.5	-4.15
250	"Allanton"	55.78333	-2.21667
251	"Allendale Town"	54.89657	-2.25506
252	"Allenheads"	54.80211	-2.21962
253	"Allensford"	54.84543	-1.88201
254	"Allensmore"	52.01875	-2.78045
255	"Aller"	51.06028	-2.85806
256	"Allerdean"	55.71219	-2.05647
257	"Allerford"	51.21157	-3.57017
258	"Allerston"	54.2355	-0.65662
259	"Allerton Mauleverer"	54.0159	-1.36754
260	"Allesley"	52.42605	-1.57157
261	"Allestree"	52.94471	-1.49533
262	"Allexton"	52.59648	-0.79102
263	"Allgreave"	53.19956	-2.0421
264	"Allhallows"	51.4675	0.64133
265	"Allington"	52.93333	-0.71667
266	"Allington"	51.28333	0.51667
267	"Allington"	51.15	-1.7
268	"Alloa"	56.11586	-3.78997
269	"Allonby"	54.77396	-3.43015
270	"Alloway"	55.43202	-4.63301
271	"Allscott"	52.71339	-2.57462
272	"Alltbeath"	57.23333	-5.18333
273	"Alltmawr"	52.11264	-3.3541
274	"Alltnacaillich"	58.36667	-4.63333
275	"Alltsigh"	57.23652	-4.55816
276	"Alltwalis"	51.96296	-4.26352
277	"Alltwen"	51.71417	-3.84663
278	"Almeley"	52.15895	-2.9763
279	"Almer"	50.7896	-2.12493
280	"Almondbank"	56.41729	-3.51733
281	"Almondbury"	53.63635	-1.74498
282	"Almondsbury"	51.55407	-2.57114
283	"Alne"	54.08375	-1.24014
284	"Alness"	57.69596	-4.2551
285	"Alnham"	55.39197	-2.00834
286	"Alnmouth"	55.4	-1.6
287	"Alnwick"	55.41318	-1.70563
288	"Alpheton"	52.12329	0.74763
289	"Alphington"	50.69853	-3.53168
290	"Alpington"	52.56728	1.38229
291	"Alresford"	51.85389	1.00203
292	"Alrewas"	52.73278	-1.74968
293	"Alrick"	56.73333	-3.31667
294	"Alsager"	53.09617	-2.30649
295	"Alsop en le Dale"	53.09337	-1.76199
296	"Alston"	54.809	-2.43931
297	"Alstonefield"	53.0983	-1.80656
298	"Altamullan"	54.68333	-7.73333
299	"Altamuskin"	54.51667	-7.08333
300	"Altandhu"	58.05	-5.45
301	"Altanduin"	58.2	-4.03333
302	"Altarnun"	50.60464	-4.51224
303	"Altham"	53.77654	-2.37326
304	"Althorne"	51.65722	0.76085
305	"Althorpe"	53.57744	-0.74082
306	"Altmover"	54.93333	-7
307	"Altnaharra"	58.28311	-4.44389
308	"Altnamackan"	54.16667	-6.63333
309	"Altofts"	53.70687	-1.43312
310	"Alton"	52.96667	-1.88333
311	"Alton"	51.14931	-0.97469
312	"Alton Albany"	55.2	-4.7
313	"Alton Barnes"	51.3592	-1.84962
314	"Alton Priors"	51.36005	-1.84289
315	"Alton Towers"	52.99121	-1.89241
316	"Altrincham"	53.38752	-2.34848
317	"Alva"	56.15284	-3.80505
318	"Alvanley"	53.26008	-2.75295
319	"Alvechurch"	52.35173	-1.96531
320	"Alvediston"	51.01007	-2.03481
321	"Alveley"	52.45709	-2.35434
322	"Alverstoke"	50.78842	-1.14971
323	"Alverstone"	50.66811	-1.18334
324	"Alverthorpe"	53.69264	-1.53345
