"1","NY","New York",,"8008278","40.7","-73.92"
"2","CA","Los Angeles",,"3694820","34.09","-118.38"
"3","IL","Chicago",,"2896016","41.84","-87.68"
"4","TX","Houston",,"1953631","29.76","-95.38"
"5","PA","Philadelphia",,"1517550","40","-75.14"
"6","AZ","Phoenix",,"1321045","33.53","-112.08"
"7","CA","San Diego",,"1223400","32.78","-117.15"
"8","TX","Dallas",,"1188580","32.8","-96.79"
"9","TX","San Antonio",,"1144646","29.45","-98.51"
"10","MI","Detroit",,"951270","42.39","-83.1"
"11","CA","San Jose",,"894943","37.3","-121.87"
"12","IN","Indianapolis",,"781870","39.79","-86.15"
"13","CA","San Francisco",,"776733","37.76","-122.44"
"14","FL","Jacksonville",,"735617","30.32","-81.66"
"15","OH","Columbus",,"711470","39.99","-82.99"
"16","TX","Austin",,"656562","30.3","-97.75"
"17","MD","Baltimore",,"651154","39.31","-76.62"
"18","TN","Memphis",,"650100","35.12","-89.97"
"19","WI","Milwaukee",,"596974","43.05","-87.96"
"20","MA","Boston",,"589141","42.32","-71.09"
"21","TX","El Paso",,"563662","31.79","-106.42"
"22","WA","Seattle",,"563374","47.63","-122.33"
"23","CO","Denver",,"554636","39.73","-104.97"
"24","TN","Nashville-Davidson",,"545524","36.15","-86.76"
"25","NC","Charlotte",,"540828","35.21","-80.83"
"26","TX","Fort Worth",,"534694","32.74","-97.33"
"27","OR","Portland",,"529121","45.52","-122.64"
"28","OK","Oklahoma City",,"506132","35.48","-97.53"
"29","AZ","Tucson",,"486699","32.21","-110.92"
"30","LA","New Orleans",,"484674","29.97","-90.06"
"31","NV","Las Vegas",,"478434","36.19","-115.22"
"32","OH","Cleveland",,"478403","41.48","-81.67"
"33","CA","Long Beach",,"461522","33.8","-118.16"
"34","NM","Albuquerque",,"448607","35.11","-106.61"
"35","MO","Kansas City",,"441545","39.08","-94.56"
"36","CA","Fresno",,"427652","36.78","-119.79"
"37","VA","Virginia Beach",,"425257","36.83","-76.09"
"38","GA","Atlanta",,"416474","33.76","-84.4"
"39","CA","Sacramento",,"407018","38.56","-121.47"
"40","CA","Oakland",,"399484","37.8","-122.23"
"41","AZ","Mesa",,"396375","33.41","-111.75"
"42","OK","Tulsa",,"393049","36.13","-95.94"
"43","NE","Omaha",,"390007","41.26","-96.01"
"44","MN","Minneapolis",,"382618","44.96","-93.27"
"45","HI","Honolulu",,"371657","21.31","-157.83"
